id,created_at,text
1039566778316283909,2018-09-11 17:30:08,"b'Extremists in eastern Afghanistan bombed a peaceful protest, killing at least 32 people, officials said https://t.co/UxpriLFpCx'"
1039563001475592195,2018-09-11 17:15:08,b'We asked readers to send us memories of their favorite New York spots. Here\xe2\x80\x99s a selection. https://t.co/hxQ5QdQDC3'
1039559235129012224,2018-09-11 17:00:10,"b'A cholera outbreak in the capital of Zimbabwe has killed at least 20 people and sickened 2,000 others in the past w\xe2\x80\xa6 https://t.co/dFn4HZjsd6'"
1039555450021339136,2018-09-11 16:45:07,"b'Apple is set to introduce a trio of new iPhones this week, including models with bigger screens \xe2\x80\x94 and higher starti\xe2\x80\xa6 https://t.co/klnhIMDeqU'"
1039551680256372736,2018-09-11 16:30:09,"b""RT @nytvideo: We analyzed the construction of a new C.I.A. drone base in the Sahara Desert. Here's what we found: https://t.co/mU6a3dkKxk h\xe2\x80\xa6"""
1039549144053043200,2018-09-11 16:20:04,"b""India's Supreme Court has ruled that hunters may shoot to kill a tigress that is believed to have killed 13 people,\xe2\x80\xa6 https://t.co/sxG8Rmwxi1"""
1039546641521549312,2018-09-11 16:10:07,b'A top Goldman Sachs banker called a whistle-blower hotline with ethics concerns. He left after his bosses urged him\xe2\x80\xa6 https://t.co/yKqmeog8eU'
1039545373189128194,2018-09-11 16:05:05,b'RT @mikiebarb: Mike Schmidt interviewing Bob Woodward yesterday at The Times. (Photo by Earl Wilson) the episode: https://t.co/jXz6HqWfNX h\xe2\x80\xa6'
1039544136796434433,2018-09-11 16:00:10,"b'\xe2\x80\x9cWe remember the moment when America fought back.\xe2\x80\x9d\nDuring a trip to Pennsylvania, President Trump paid tribute to t\xe2\x80\xa6 https://t.co/ggVeenj57N'"
1039541589343920131,2018-09-11 15:50:03,"b'For nearly 17 years, the Cortlandt Street subway station, buried under World Trade Center debris, sat unused. This\xe2\x80\xa6 https://t.co/hUsXys4Sgs'"
1039538327077236736,2018-09-11 15:37:05,b'RT @EricLiptonNYT: This was the hardest story personally I have ever worked on. Still think about it. A reminder that there are heroes even\xe2\x80\xa6'
1039536583429513221,2018-09-11 15:30:09,"b'\xe2\x80\x9cWe thank you for the legacy and the foundation that you set.\xe2\x80\x9d\n17 years after the 9/11 terror attacks, family membe\xe2\x80\xa6 https://t.co/7MPHpSTRUd'"
1039534066247380992,2018-09-11 15:20:09,"b""RT @nytimesworld: One member of Australia's Parliament recalled being asked if she had entered politics to find a husband. Others said male\xe2\x80\xa6"""
1039531519465926656,2018-09-11 15:10:02,"b""We're trying something different: A politics newsletter for people who don\xe2\x80\x99t always love political stories. This is\xe2\x80\xa6 https://t.co/rcaY813oWs"""
1039529041848684544,2018-09-11 15:00:11,"b""RT @nytimesworld: If there's one thing to learn from the tuskless elephants of Mozambique, it's that evolution can move at warp speed https\xe2\x80\xa6"""
1039525537788702722,2018-09-11 14:46:16,"b'Stephen Colbert taunted Les Moonves and made reference to Louis C.K. on ""The Late Show with Stephen Colbert"" last n\xe2\x80\xa6 https://t.co/YqsiRdPjKL'"
1039524981892370432,2018-09-11 14:44:03,"b""Primary season was full of surprises. Here's why the polls missed some of them. https://t.co/n8imUzPxe5 https://t.co/U6jo41dwPf"""
1039521204183412736,2018-09-11 14:29:03,"b""RT @MichaelPaulson: He's 20 feet tall. He weighs 2,000 pounds. And he\xe2\x80\x99s coming to Broadway this fall. Meet King Kong, a massive marionette\xe2\x80\xa6"""
1039518959014477824,2018-09-11 14:20:07,"b'""I believe that in this century, we can win a four-day working week, with decent pay for everyone,"" said the head o\xe2\x80\xa6 https://t.co/HaKiVyEfii'"
1039516431295991810,2018-09-11 14:10:05,b'RT @cliffordlevy: NYT Scoop:\nCuomo\xe2\x80\x99s administration offered inducements to the contractor on a major bridge so that it would open before th\xe2\x80\xa6'
1039513943889260551,2018-09-11 14:00:12,"b'Hurricane Florence could bring conditions that people have not seen in their lifetimes. ""It\'s a dire situation that\xe2\x80\xa6 https://t.co/Pn5PaeqUxk'"
1039509889570066433,2018-09-11 13:44:05,"b""RT @nytopinion: My brother died in 9/11. I fought in Afghanistan and Iraq. But it's taken this long for me to realize the meaning of it all\xe2\x80\xa6"""
1039502607381876736,2018-09-11 13:15:09,"b'The race to watch in New Hampshire is in the First District, where 11 Democrats, including the son of Senator Berni\xe2\x80\xa6 https://t.co/mwtrGqLrPF'"
1039498861692297217,2018-09-11 13:00:16,"b""Morning Briefing: Here's what you need to know to start your day https://t.co/UE1LpqDXYY https://t.co/rgwgGSOPyh"""
1039494778491166720,2018-09-11 12:44:02,"b'""Picking up racist iconography from 100 years ago in order to attack a black woman still makes you racist, even if\xe2\x80\xa6 https://t.co/3coxZAukqx'"
1039491012119281664,2018-09-11 12:29:04,"b""RT @mccanner: The @nytpolitics team launched a really great new project today. It's a newsletter, written by @llerer\n\nI know, I know, ANOTH\xe2\x80\xa6"""
1039487508898299905,2018-09-11 12:15:09,"b'It has taken more than four years, over 29,000 airstrikes and thousands of soldiers\xe2\x80\x99 lives for the American-led coa\xe2\x80\xa6 https://t.co/PtiGDjqLpL'"
1039483728769245184,2018-09-11 12:00:08,b'Your daily @DealBook Briefing:\n\n\xe2\x80\xa2 How the financial crisis helped elect Trump.\xc2\xa0\n\n\xe2\x80\xa2 Hurricane Florence may be an eco\xe2\x80\xa6 https://t.co/X2jy6GhFXs'
1039480198943698944,2018-09-11 11:46:06,"b""Follow Hurricane Florence's path here https://t.co/EuKlnsR7ZW"""
1039476156939026432,2018-09-11 11:30:03,b'President Trump received a letter from Kim Jong-un asking for a second meeting to follow up on their summit in June\xe2\x80\xa6 https://t.co/F96LVDE3Gd'
1039472404576251904,2018-09-11 11:15:08,"b'Bob Woodward talks about what it took to get access to the White House and why he called his new book ""Fear"" https://t.co/HyOMWWmqQk'"
1039468610803167235,2018-09-11 11:00:03,b'More than a million people in North and South Carolina have been ordered to evacuate as Hurricane Florence approach\xe2\x80\xa6 https://t.co/tVRoEKAzUB'
1039464341974777856,2018-09-11 10:43:06,b'Andrew Cuomo has said his administration had no role in the timing of the opening of the Mario M. Cuomo Bridge. A n\xe2\x80\xa6 https://t.co/X85OVrND5J'
1039461075480195072,2018-09-11 10:30:07,"b'""It has been a government in survival mode and not in governance mode,"" said Guatemala\'s former health minister. ""T\xe2\x80\xa6 https://t.co/liwbsCoeBA'"
1039457538222243841,2018-09-11 10:16:03,"b'RT @EllenBarryNYT: When the Soviet Union collapsed, Vladimir Putin and Sergei Skripal lived through the same breathtaking loss of status an\xe2\x80\xa6'"
1039455024429064192,2018-09-11 10:06:04,"b""Morning\xc2\xa0Briefing: Here's what you need to know to start your day https://t.co/6MQTdlOfp0 https://t.co/0SK78FO6fi"""
1039453594297290752,2018-09-11 10:00:23,"b'RT @nytmedia: Our @koblin writes that Leslie Moonves made his name as a programmer of shows with clear-cut villains and heroes. On Sunday,\xe2\x80\xa6'"
1039449496185446400,2018-09-11 09:44:06,b'Officials in Europe are keenly aware that President Trump could undercut trade talks with a single tweet or comment\xe2\x80\xa6 https://t.co/W7ZOrA28jD'
1039445973179789313,2018-09-11 09:30:06,b'RT @nytimesworld: Pork is up. Vegetables are up. Gasoline is up. Prices are rising in China \xe2\x80\x94 and that could complicate Beijing\xe2\x80\x99s efforts t\xe2\x80\xa6'
1039442195198173184,2018-09-11 09:15:05,b'The Trump administration is preparing to make it significantly easier for energy companies to release methane into\xe2\x80\xa6 https://t.co/mIiQfHlJN8'
1039438435310882816,2018-09-11 09:00:09,"b'A United Nations panel said Xiyue Wang, a Princeton University graduate student, had been wrongly accused of espion\xe2\x80\xa6 https://t.co/BDwWbduopD'"
1039434646335959040,2018-09-11 08:45:06,"b'After 9/11, a police captain suffered from respiratory problems and PTSD, having spent 40 days at ground zero searc\xe2\x80\xa6 https://t.co/zeB8jwcCX7'"
1039430873173639168,2018-09-11 08:30:06,"b'30 years ago, British youth culture was transformed by acid house music and the drug Ecstasy. These fliers tell the\xe2\x80\xa6 https://t.co/X4IHw6ZOPc'"
1039427091996057600,2018-09-11 08:15:05,"b'On the same day that the White House welcomed a letter from Kim Jong-un, proposing another meeting of the 2 leaders\xe2\x80\xa6 https://t.co/YXY3awCIcR'"
1039423317386649600,2018-09-11 08:00:05,"b'""It\xe2\x80\x99s easy to forget now because it happened 2 very long weeks ago, but Serena Williams arrived at the 2018 United\xe2\x80\xa6 https://t.co/FSGHvJBS1X'"
1039419536011939841,2018-09-11 07:45:03,b'The Trump administration is considering sanctions on Chinese officials over the detention of hundreds of thousands\xe2\x80\xa6 https://t.co/MuKK6rJSA7'
1039415769694650368,2018-09-11 07:30:05,"b'She spent 18 years researching a biography of her grandfather, a national hero in Lithuania, expecting to produce a\xe2\x80\xa6 https://t.co/pKtP36IDl6'"
1039412012042870816,2018-09-11 07:15:09,"b'If President Trump runs out of patience, there is a high risk the talks could fall apart entirely, disrupting the $\xe2\x80\xa6 https://t.co/rllZTiULjs'"
